location,cluster
Voždovac,2
Galenika,0
Mirijevo I,0
Centar (uži),6
Bežanijska kosa III,7
Terazije ( centar ),1
Gornji Dorćol,6
Olimp,7
Cvetkova pijaca,2
Novi Beograd Blok 62,7
Lion,6
Dedinje (25. maj),3
Savski trg,7
Novi Beograd Blok 28 (Potkovica),2
Kalenić pijaca,1
Šumice,3
Tošin bunar,6
Skadarlija,1
Čubura,6
Vračar (Centar),1
Crveni krst,6
Novi Beograd Blok 61,3
Tašmajdan,3
Vračar (Hram),1
Lekino brdo,3
Braće Jerković,9
Klinički centar,6
Jajinci,0
Medaković III,7
Sremčica,5
Višnjička banja,9
Kumodraž I,0
Vidikovačka padina,5
Zeleno Brdo,9
Kaluđerica,5
Kosančićev venac,1
Karaburma,9
Zemun (Centar),2
Bogoslovija,7
Novi Beograd Blok 29,1
Novi Beograd Blok 8a,7
Gradska bolnica,2
Dedinje (Beli dvor),1
Banovo brdo,6
Konjarnik,9
Učiteljsko naselje,7
Novi Beograd Blok 4 (Politehnička akademija),3
Vukov spomenik,6
Donji Dorćol,3
Zvezdara,7
Novi Beograd Blok 33 (Genex kula),6
Beograd na vodi,4
Đeram pijaca,1
Novi Beograd Blok 65,4
Skojevsko naselje,9
Novi Beograd Blok 67a,1
Novi Beograd Blok 1 (Fontana),9
Novi Beograd Blok 19 (Sava Centar),2
Institut za majku i dete,9
Novi Beograd Blok 58,6
Cvetni trg,6
Novi Beograd Blok 71,9
Altina,8
Autokomanda,3
Severni bulevar,7
Labudovo brdo,9
Novi Beograd Blok 45 (TC Enjub),7
Novi Beograd Blok 70 (Kineski TC),3
Novi Beograd Blok 72,9
Zemun (Save Kovačevića),9
Neimar,6
Zemun Polje,8
Cerak vinogradi,2
Banjica,2
Zemun (Gornji grad),7
Zeleni venac,2
Politika ( centar ),6
Novo groblje,9
Filmski grad,9
Mirijevo IV,8
Cvijićeva,2
Zemun (Cara Dušana),2
Žarkovo,0
Trošarina,2
Palilulska pijaca,9
Dušanovac,3
Petlovo brdo,0
Kanarevo brdo,8
Dedinje (RTV Pink),1
Poštanska štedionica,1
Botanička bašta,3
Vidikovac,9
Zemun (Kalvarija),3
Stari Grad,1
Bežanijska kosa I,3
Novi Beograd Blok 64,2
Bežanijska kosa II,3
Novi Beograd Blok 38 (OŠ Ratko Mitrović),3
Bajlonijeva pijaca,3
Južni bulevar,3
Novi Beograd Blok 22,6
Novi Beograd Blok 70a,3
Novi Beograd Blok 9,3
Novi Beograd Blok 67 (Belvil),4
Hala Pionir,3
Savski venac,6
Novi Beograd,3
Rudo,2
Partizanov stadion,3
Zemun (Nova Galenika),9
"Beograd, Srbija",9
Rakovica,0
Novi Beograd Blok 11 (Hotel Jugoslavija),3
Železnik,0
Ledine,8
Zemun (Novi Grad),9
Kotež,5
Krnjača,5
Novi Beograd Blok 44 (Piramida),3
Borča III,5
Novi Beograd Blok 30 (B92),6
Vinča,5
Surčin (centar),8
Novi Beograd Blok 7 (Paviljoni),9
Padinska skela,5
Novi Beograd Blok 12 (YUBC),1
Boleč,8
Zemun (Meandri),9
Senjak,1
Leštane,5
Denkova bašta,7
Zemun (Gardoš),9
Miljakovac I,9
Bele vode,0
Batajnica,8
Avala,8
Novi Beograd Blok 63,2
Grocka (centar),5
Miljakovac II,8
Gundulićev venac,3
Plavi Horizonti,8
Zira,6
Autoput,8
Kneževac,5
29. Novembra,6
Novi Beograd Blok 25 (Arena),1
Ovča,5
Mirijevo III,8
Košutnjak,2
Novi Beograd Blok 23,2
Novi Beograd Blok 49,0
Bulbuder,2
Čukarička padina,3
Novi Beograd Blok 2,9
Hadžipopovac,3
Sarajevska,7
Slavija,6
Stepa Stepanović,3
Resnik,8
Medaković I,7
Cerak,9
Zemun (Kej),2
Zemun (Marije Bursać),9
Barajevo,5
Novi Beograd Blok 21 (10. Gimnazija),3
Slavujev venac,3
Čukarica,9
Pregrevica,3
Golf naselje,4
Trg Republike ( centar ),1
Palilula,2
Novi Beograd Blok 11c (Stari Merkator),7
Bečmen,5
Novi Beograd Blok 37,3
Novi Beograd Blok 19a,2
Topličin venac,2
Borča I,5
Novi Beograd Blok 5,8
Retenzija,6
Sopot,8
Bulevar Kr. Aleksandra,6
Sunčana padina,6
Obilićev venac,3
Mali mokri lug,0
Beograđanka ( centar ),6
Palata pravde,2
Julino brdo,0
Andrićev venac,6
Kluz,9
Novi Beograd Blok 31 (Merkator),6
Novi Beograd Blok 24 (Super Vero),1
Ostružnica,7
Studentski Trg ( centar ),1
Mirijevo II,0
Miljakovac III,5
Rušanj,5
Kumodraž II,9
Profesorska kolonija,6
Medaković II,8
Cvetanova ćuprija,8
Kalemegdan,6
Vojvode Vlahovića,8
Zvezdarska Šuma,8
Veliki mokri lug,9
Novi Beograd Blok 34 (Studentski grad),3
Zemun (Ćukovac),2
Dunavski kej,1
Dobanovci,8
Knez Mihajlova ( centar ),6
Borča II,5
Novi Beograd Blok 68,1
Zvezdin stadion,7
Zemun (Bačka),9
Zemun (Donji grad),7
Novi Beograd Blok 60 (Airport City),6
Višnjica,7
Kopitareva gradina,2
Farmaceutski fakultet,9
Novi Beograd Blok 8 (Paviljoni),8
Medak padina,0
Lipov lad,6
Greda,0
Novi Beograd Blok 32 (Crkva sv. Dimitrija),1
Sava mala,7
Zemun (Zemunske kapije),6
Borča V,9
Kneza Miloša ( centar ),6
Hipodrom,9
Ada Ciganlija,5
Novi Beograd Blok 60,3
Lisičji potok,2
Pašino brdo,3
Viline vode,0
Jabučki rit,5
Strahinjića Bana,4
Manjež,4
